cl1,cl2,Rsq,snpCt,pctConc,,,
c9.3L.34,c11.3L.15,0.017047706,1,1,TRUE,FALSE,FALSE
c1.2L.15,c1.2L.45,0.016822898,2,1,FALSE,TRUE,FALSE
c10.3L.34,c13.3L.15,0.016669368,0,NA,TRUE,FALSE,FALSE
c8.3L.45,c14.3L.15,0.0165814,0,NA,TRUE,FALSE,FALSE
c1.3R.34,c2.3R.15,0.016531824,3,1,TRUE,FALSE,FALSE
c14.2R.15,c3.2R.34,0.016508677,2,0.5,FALSE,TRUE,FALSE
c1.2L.34,c7.2L.15,0.01647912,2,1,TRUE,FALSE,FALSE
c8.3L.45,c9.3L.15,0.016431585,0,NA,TRUE,FALSE,FALSE
c3.3R.15,c1.3R.45,0.016360728,0,NA,FALSE,TRUE,FALSE
c3.3L.45,c6.3L.15,0.016348867,0,NA,TRUE,FALSE,FALSE
c9.3L.34,c12.3L.15,0.016331231,1,1,TRUE,FALSE,FALSE
c5.3R.34,c5.3R.15,0.016195509,1,1,TRUE,FALSE,FALSE
c9.3R.45,c19.3R.15,0.016172866,4,1,TRUE,FALSE,FALSE
c5.3L.23,c10.3L.15,0.015955239,4,1,TRUE,FALSE,FALSE
c3.3L.45,c4.3L.15,0.015801231,0,NA,TRUE,FALSE,FALSE
c14.2R.15,c4.2R.45,0.015693061,22,1,FALSE,TRUE,FALSE
c8.3L.45,c13.3L.15,0.015635914,0,NA,TRUE,FALSE,FALSE
c16.3R.15,c7.3R.45,0.015234074,0,NA,FALSE,TRUE,FALSE
c10.2R.15,c2.2R.34,0.015092139,0,NA,FALSE,TRUE,FALSE
c1.2L.34,c6.2L.15,0.014977415,0,NA,TRUE,FALSE,FALSE
c1.2L.34,c14.2L.15,0.014901496,0,NA,TRUE,FALSE,FALSE
c6.3L.34,c6.3L.15,0.014738348,1,1,TRUE,FALSE,FALSE
c9.3R.15,c7.3R.34,0.014601987,0,NA,FALSE,TRUE,FALSE
c1.2L.34,c12.2L.15,0.014463528,0,NA,TRUE,FALSE,FALSE
c9.3R.15,c8.3R.34,0.014445048,0,NA,FALSE,TRUE,FALSE
c9.3L.34,c10.3L.15,0.01431541,2,0,TRUE,FALSE,FALSE
c6.3L.34,c5.3L.15,0.014257206,1,1,TRUE,FALSE,FALSE
c11.3R.15,c10.3R.34,0.014041664,0,NA,FALSE,TRUE,FALSE
c5.2L.45,c10.2L.15,0.013941623,0,NA,TRUE,FALSE,FALSE
c1.2L.34,c8.2L.15,0.013919723,0,NA,TRUE,FALSE,FALSE
c9.3L.34,c9.3L.15,0.013866506,2,1,TRUE,FALSE,FALSE
c20.3R.34,c19.3R.15,0.013772511,0,NA,TRUE,FALSE,FALSE
c1.2L.34,c10.2L.15,0.013522136,0,NA,TRUE,FALSE,FALSE
c1.2L.34,c13.2L.15,0.013418363,0,NA,TRUE,FALSE,FALSE
c6.X.45,c5.X.15,0.012622425,0,NA,TRUE,FALSE,FALSE
c9.3L.34,c8.3L.15,0.012141404,0,NA,TRUE,FALSE,FALSE
c9.3L.34,c7.3L.15,0.011571189,0,NA,TRUE,FALSE,FALSE
c6.3R.45,c14.3R.15,0.011451682,4,1,TRUE,FALSE,FALSE
c1.2L.34,c9.2L.15,0.011189458,0,NA,TRUE,FALSE,FALSE
c1.X.34,c1.X.15,0.010693061,0,NA,TRUE,FALSE,FALSE
c7.2L.15,c1.2L.23,0.010580132,0,NA,FALSE,TRUE,FALSE
