,E10_Female_1,E10_Female_2,E10_Female_3,E10_Female_4,E10_Female_5,E1_Female_1,E1_Female_2,E1_Female_3,E1_Female_4,E1_Female_5,E2_Female_1,E2_Female_2,E2_Female_3,E2_Female_4,E2_Female_5,E3_Female_1,E3_Female_2,E3_Female_3,E3_Female_4,E3_Female_5,E4_Female_1,E4_Female_2,E4_Female_3,E4_Female_4,E4_Female_5,E5_Female_1,E5_Female_2,E5_Female_3,E5_Female_4,E5_Female_5,E6_Female_1,E6_Female_2,E6_Female_3,E6_Female_4,E6_Female_5,E7_Female_1,E7_Female_2,E7_Female_3,E7_Female_4,E7_Female_5,E8_Female_1,E8_Female_2,E8_Female_3,E8_Female_4,E8_Female_5,E9_Female_1,E9_Female_2,E9_Female_3,E9_Female_4,E9_Female_5,Female-2014_S5_.dedup.ss1.08384,Female-2014_S6_.dedup.ss1.08776,Female-2014_S7_.dedup.ss1.1992,Female-2014_S8_.dedup.ss1.1019
E2_Female_1,0.00192026590268919,0.00211227568246607,0.00245774633333141,0.00428738539859729,0.00435745963677074,0.00171193691102448,0.00168312576039472,0.001729795069445,0.00528985135444347,0.00299730356543035,0,0.00324012255600891,0.00187633960579397,0.00222177843665119,0.00507512621408884,0.00178557532934842,0.0017569922958539,0.00229250659701927,0.00185139140124688,0.0023552859758604,0.0018085135315809,0.00198323174460547,0.00229060909334497,0.00239189976367191,0.00276082208035285,0.00214845928341665,0.00185926585129457,0.00223601036997031,0.00253512089188243,0.00326939245524132,0.00170357756446116,0.0019120850244112,0.0028857884465816,0.00247919733607532,0.002933019040142,0.00198637536112276,0.00222030297642692,0.00220472625880901,0.00532323698026862,0.00371831081180031,0.00169171977736235,0.00306263655011908,0.00256358240285911,0.00690253187588307,0.00272352256533862,0.00172158550366487,0.00198267991005491,0.00245922158611868,0.00535609423394168,0.00283205813488882,0.00216031604964044,0.00233222378690029,0.00242733663200143,0.00212334432848779
E2_Female_2,0.0030380049941883,0.00296754661955861,0.00318805872068487,0.00531343552617809,0.00483833858230648,0.00249107956894217,0.00232083627536614,0.00287428836837392,0.00482320764761314,0.00349966546853688,0.00324012255600891,0,0.00287922220993267,0.00260793251832097,0.00613551558012705,0.00278082985683876,0.00278021877128811,0.00298110432021347,0.00258083924283613,0.00314880129265766,0.00296709088152156,0.00368693222953611,0.00297654709138424,0.0035732043196767,0.00370103469984451,0.00249597647903747,0.00287103849455156,0.00284675424133092,0.00243953946643548,0.00361792246034147,0.00273383790118057,0.00235998358422015,0.00286530289262078,0.00260086806326435,0.00292052876243887,0.00274502656169162,0.00215308468004843,0.00261340705805066,0.00508606314536613,0.0045427829941216,0.00272049043135922,0.00223060226363734,0.00255933905081493,0.00596029356358135,0.00285113021619176,0.00319093853552098,0.00286121985841157,0.00328722921487423,0.00499555485020675,0.0038353729168078,0.00423172467643592,0.00374671322681415,0.00365219100140419,0.0040602660540107
E2_Female_3,0.00160724516876796,0.00157316726975704,0.00173789935131072,0.00414609405041454,0.00406790875125931,0.00166322062418862,0.00151600116690032,0.00177375465747683,0.00475818450858898,0.0020542218067202,0.00187633960579397,0.00287922220993267,0,0.00142238003792656,0.00497739202969337,0.00206500255199761,0.00210846844004652,0.00233326722889648,0.00152076625362461,0.00225733948339668,0.00180425467480447,0.0021375277982178,0.00223971391726517,0.00211975598679906,0.00273541830675508,0.00169716943909971,0.00154224068186526,0.00161121088636133,0.0015770969921449,0.00279058065648047,0.00172230486089555,0.00163791569247709,0.00197407405464346,0.00213104808385433,0.00209667424628719,0.00183474047232757,0.00199940212020025,0.00167026185936272,0.00508049394734531,0.00289651986734614,0.00206275748061916,0.00231386440372317,0.00194801268583383,0.00569623166337611,0.00180268879508288,0.00140523984371199,0.00157081352331379,0.00177240060591858,0.00454455781922192,0.00237031684404275,0.0020173691089491,0.00205357893651338,0.0021461968098883,0.00236364225952928
E2_Female_4,0.00251880059530043,0.00214954346098117,0.00209206500257158,0.00450298938716667,0.00457632787398386,0.00175019264081706,0.00194214019049758,0.00209431446311288,0.00463889547182728,0.0024597975088179,0.00222177843665119,0.00260793251832097,0.00142238003792656,0,0.00450213314859948,0.00232991142995164,0.00229826861245505,0.00243991795515608,0.00154323729709063,0.00246382055717068,0.00223252783921686,0.00253584845370367,0.00231100077316433,0.00233476946267897,0.00286437556722067,0.00233817088051756,0.00218091408521793,0.00215660335177853,0.00185335573356265,0.00263858946175078,0.00215395740058074,0.00185649230180538,0.00204364103250027,0.00206290825247587,0.00240580238616234,0.00221938511044861,0.00194956023587557,0.00195145548044665,0.00446891297042056,0.00353538373900939,0.00247112443443071,0.00241707750127571,0.00221869929076863,0.00623578321045621,0.00217721744470341,0.00190998490016913,0.00202530319209577,0.00222762254760955,0.00442868831398851,0.00297246581818661,0.00275691714459768,0.00267596725948265,0.00261149031821354,0.00304819421261945
E2_Female_5,0.00543538839763101,0.00518723202685823,0.00564259434739216,0.00690919810453442,0.0075533860795599,0.00506814949784281,0.00447566280539072,0.00501502933005079,0.00883075530287613,0.00563079479712749,0.00507512621408884,0.00613551558012705,0.00497739202969337,0.00450213314859948,0,0.00540343754204393,0.0049972678420254,0.00609452931734876,0.00510355777839014,0.00500265773029743,0.00596687372001208,0.00579594319522486,0.00534087629767554,0.00562256053305906,0.00567841133815282,0.00529147859935289,0.00493582786322654,0.00531295550576992,0.00513083568696602,0.00521251482850746,0.00489020666276362,0.00490020314622045,0.00582638171974198,0.0053862715171872,0.00560479910924587,0.00546110463772421,0.00554756980739754,0.00464661673900889,0.00795692009157949,0.00630655967869592,0.00497840051443802,0.0060901868836483,0.00562029863352604,0.0101577443566206,0.00552866210751549,0.00536886328272292,0.0050172911647868,0.00489357482071874,0.0070837376653681,0.00516297601536197,0.00619888455449159,0.00585465978258066,0.0058673805706955,0.00570562783644095
E3_Female_1,0.00214932731460167,0.00159755029067012,0.00225348930376606,0.00444201481314844,0.00428622287729691,0.00122965102502789,0.00137738932731723,0.00190547945288838,0.00547561975337821,0.0027527780281624,0.00178557532934842,0.00278082985683876,0.00206500255199761,0.00232991142995164,0.00540343754204393,0,0.00145306433128285,0.00185790304754597,0.0014706170793751,0.00198450438131222,0.00137476667321739,0.00203914676502869,0.00191261430041255,0.00215495659527146,0.00259625021758049,0.00167778728137002,0.0015551055969254,0.00212874549291272,0.00219772095571314,0.00317118485298493,0.00135652742676304,0.00144653536438535,0.00205108793546976,0.00170083543567249,0.00221760447571222,0.0015233042211695,0.00241316879424265,0.00191724538424155,0.00454195848842597,0.0040491006037449,0.00145168621471221,0.00243131720796394,0.00223600340754107,0.00630461582876774,0.00198078334544814,0.00196406154201181,0.00189168988981096,0.00220053674188995,0.00462710862903819,0.00262957752100683,0.00231397417513952,0.00231390111644405,0.00209857555469838,0.00228131514038596
E3_Female_2,0.00214013817917206,0.00190972474949784,0.00244499666806272,0.00450897589040085,0.00423291376437669,0.00168478242550181,0.00154091923542971,0.00208347383721648,0.00533982421250299,0.00281120857540148,0.0017569922958539,0.00278021877128811,0.00210846844004652,0.00229826861245505,0.0049972678420254,0.00145306433128285,0,0.00201996447028623,0.0014605912432668,0.00193396228112715,0.00190916511800479,0.00222224848935528,0.00219705721614542,0.00247466972593473,0.00278165212510506,0.00207411727177715,0.00176480588782881,0.00230940419859432,0.00215426350543431,0.00310926854587941,0.00167789793202398,0.00172850019029049,0.00271900527418748,0.00223069977390114,0.00264741431876618,0.00186764989804523,0.00244372049841762,0.00223693199567175,0.00521915719494275,0.00391379315585028,0.00177065225280835,0.0026467111516811,0.00238926644828988,0.00670220943657124,0.00228232900538428,0.00182303223663126,0.00209391396786111,0.0022555912744134,0.00493399837564784,0.00286361258994244,0.00273914855810037,0.00268865597226123,0.00265509020456158,0.00244377447898728
E3_Female_3,0.0027622600371133,0.00202548741220278,0.00198271946394997,0.00453220849977324,0.00472888947362601,0.00193626355568638,0.00207239463464152,0.00230541939505483,0.00610920856399296,0.00311784699951878,0.00229250659701927,0.00298110432021347,0.00233326722889648,0.00243991795515608,0.00609452931734876,0.00185790304754597,0.00201996447028623,0,0.00167473925059158,0.00225432551615055,0.00232303079659365,0.00301922623218268,0.00234472631245815,0.0027031138529207,0.003357322806956,0.00219231953638508,0.00223008265315306,0.00229652577898234,0.00231852256176607,0.00293704628970042,0.00217814786086063,0.00205550496571079,0.0023232569318977,0.00244785683963475,0.00284382506743256,0.0024302399568684,0.00223017216493625,0.00187396085013582,0.00488751354954041,0.00462133934044954,0.00243080281025023,0.00213553022995793,0.00239575015903086,0.00601133823450506,0.00232884949414922,0.00234350865847195,0.00232665045637492,0.00242251754423101,0.00451083453183328,0.00313651921184229,0.00262167797452196,0.00270050219138277,0.0026419957030448,0.0030057730672173
E3_Female_4,0.00195300407669681,0.00147179628286361,0.00189629901579234,0.00440489991261,0.00420863818584011,0.00147329077870355,0.00137186581643492,0.00161773582016746,0.00515589706273673,0.00231444699360832,0.00185139140124688,0.00258083924283613,0.00152076625362461,0.00154323729709063,0.00510355777839014,0.0014706170793751,0.0014605912432668,0.00167473925059158,0,0.00149711205868439,0.00164173171461221,0.0020695867779689,0.00174350296349225,0.00197169206402063,0.00239239505139656,0.00175980721847687,0.00152272522230139,0.00188892046787,0.00171568164781095,0.0026535630813705,0.0015696276458681,0.00140448109759966,0.0018993347377642,0.0016496092357076,0.00199926112942131,0.0015872585779396,0.00200898856591967,0.00157461572173002,0.00426296321349855,0.00354676891145017,0.00160583548680765,0.00213060511140557,0.0018009565791365,0.00574207306245299,0.00170648097706774,0.00171278631551999,0.00158764030140082,0.00197685145980881,0.00437479418744074,0.00252111047205418,0.00224257545621609,0.0024123088667928,0.00219577285949622,0.00236930070954503
E3_Female_5,0.00228440283648237,0.0018427877654816,0.00242854111477312,0.00469407235051439,0.00434608515023329,0.0020927687617514,0.0019632758167755,0.00230169267967884,0.00574853332783858,0.00283917466027667,0.0023552859758604,0.00314880129265766,0.00225733948339668,0.00246382055717068,0.00500265773029743,0.00198450438131222,0.00193396228112715,0.00225432551615055,0.00149711205868439,0,0.00247285117394369,0.00268088371212458,0.00235383479317689,0.00250485536473482,0.00305612499718521,0.00243657619767841,0.00207269903622775,0.00241870779692043,0.0023915723187466,0.0030933251789008,0.00193717688653773,0.001913552261189,0.00287740421900405,0.00220843523338183,0.00247355546590485,0.00177502216252233,0.00284636472544517,0.00193899255238305,0.0048463243861629,0.00364295130243342,0.00212749893930875,0.00271634240945273,0.002403624117918,0.00622325295089367,0.00215046298803032,0.00253257117152431,0.00212695662300122,0.00224890844878502,0.00461749887209515,0.00260993265014033,0.00292571867812046,0.00293771731785902,0.00272031381690606,0.00289513806689597
E4_Female_1,0.00198557482981784,0.0017578930017538,0.00214353175322994,0.00485728452378063,0.00483535642722588,0.00142961707884015,0.0015563326613121,0.00159561281902365,0.00526503581519569,0.00290829454373302,0.0018085135315809,0.00296709088152156,0.00180425467480447,0.00223252783921686,0.00596687372001208,0.00137476667321739,0.00190916511800479,0.00232303079659365,0.00164173171461221,0.00247285117394369,0,0.00158359748644705,0.00180636006475175,0.00190799636954686,0.0024983547357701,0.00140828887205544,0.00147348235601891,0.00208220002503097,0.00240854690562017,0.00342941283972899,0.00149082693515527,0.00168468729529504,0.0019145686579183,0.00190432779885133,0.00220018732417941,0.00176024891028535,0.00247483401606934,0.00200912310508401,0.004603284866543,0.00416962373063712,0.00166090436744619,0.00263652601982032,0.00218771685169535,0.00653771071698638,0.00219315663667698,0.00173167949231887,0.00180138162132147,0.00252173362900204,0.00514146629608137,0.00297633137333027,0.00220250951907957,0.00185622178219449,0.00192923899682396,0.00218152379426782
E4_Female_2,0.0023097763365865,0.00231669104505687,0.00269958683278456,0.00541092995749381,0.00511760038914118,0.00207192874140722,0.00197937434220676,0.00196738243156138,0.00548649219219592,0.00321534039012747,0.00198323174460547,0.00368693222953611,0.0021375277982178,0.00253584845370367,0.00579594319522486,0.00203914676502869,0.00222224848935528,0.00301922623218268,0.0020695867779689,0.00268088371212458,0.00158359748644705,0,0.00197724896588016,0.0015650405119816,0.00256846039217262,0.00211790924415029,0.00196515786962338,0.00231140747434265,0.00279114439881379,0.00397398371532288,0.00191643107307052,0.0020262252608603,0.00253000128424634,0.00231116710822554,0.00268715669559845,0.00234304941491602,0.00269955629986684,0.00267834848259062,0.00544339065229577,0.00408242770208857,0.00193782636612188,0.00354103004551526,0.00290856204324489,0.00717695937284886,0.00268009693102319,0.00204110660611421,0.00217121712312481,0.00282538740639486,0.00565799271941113,0.00347200447362545,0.00214772943495014,0.0022322329494396,0.0023298397833377,0.00233127902601877
E4_Female_3,0.00193758493356858,0.00200221800671257,0.00227188268579271,0.00535852586102933,0.00461644794074441,0.00184841568393582,0.00160614117485263,0.0020520565409314,0.00604798941602587,0.00276136026391554,0.00229060909334497,0.00297654709138424,0.00223971391726517,0.00231100077316433,0.00534087629767554,0.00191261430041255,0.00219705721614542,0.00234472631245815,0.00174350296349225,0.00235383479317689,0.00180636006475175,0.00197724896588016,0,0.00204518337531988,0.00269975351511318,0.00185602379338013,0.00187552190723471,0.00166874839948084,0.00224152354765313,0.00374371304085749,0.00181374812342168,0.00190350444192451,0.00218737022089363,0.00206178437170757,0.00215805365685888,0.00215609424873121,0.00230739821940553,0.00170179726428535,0.00568017468750931,0.00422244677311468,0.00178929719041553,0.00266403066129904,0.00248383234773634,0.00622544920866189,0.00236800365149555,0.0024313691623675,0.00173745522991464,0.0023896297353299,0.00501636273654304,0.00295332563285955,0.00255294890120514,0.00234527501344532,0.00229291422816331,0.00235210422388898
E4_Female_4,0.00234467751218759,0.00199734384888697,0.0021284840275981,0.00548073217913483,0.0046989506763029,0.00197958168019433,0.00213499913010807,0.0023307298210765,0.00523861993752926,0.00278326220473443,0.00239189976367191,0.0035732043196767,0.00211975598679906,0.00233476946267897,0.00562256053305906,0.00215495659527146,0.00247466972593473,0.0027031138529207,0.00197169206402063,0.00250485536473482,0.00190799636954686,0.0015650405119816,0.00204518337531988,0,0.00298439271573944,0.00234037506400351,0.00182448525933821,0.00232295579591617,0.00245277890974431,0.00369204291853954,0.00173548862208964,0.00196447922306082,0.002431513622875,0.00198866857680635,0.00262477126827536,0.00238632702051835,0.00277057511600754,0.00234886834509748,0.00517392005222283,0.00368397972004758,0.00217802195537913,0.00302928257187554,0.0026822146620054,0.0065879613762026,0.00227804207799472,0.00232360051408638,0.00234055176498293,0.00277889307103537,0.00496154298194843,0.00310431128241458,0.00228493404531205,0.00219622107043994,0.00218058279147048,0.0024719173600089
E4_Female_5,0.00305301574476469,0.00275674570556934,0.00301309584747751,0.00541970100489596,0.00594204084878841,0.00251915258813387,0.00225865874568491,0.00266473307459807,0.006275269012151,0.00330068700330086,0.00276082208035285,0.00370103469984451,0.00273541830675508,0.00286437556722067,0.00567841133815282,0.00259625021758049,0.00278165212510506,0.003357322806956,0.00239239505139656,0.00305612499718521,0.0024983547357701,0.00256846039217262,0.00269975351511318,0.00298439271573944,0,0.00232403345292182,0.00255737413884534,0.00250112923351603,0.00284368828976699,0.00387185345432961,0.00252361184529177,0.00232741495506263,0.00311588214779205,0.00283042485226308,0.00289435710610306,0.00292286263340641,0.00315460653327515,0.0026626865004227,0.00555723616997111,0.0044229532770864,0.00256038364214907,0.00353300338462718,0.00327619778182911,0.00781606698068011,0.00307551933901598,0.0026151198323728,0.00244295149919678,0.00294044112977485,0.00588616569429586,0.00348013462405258,0.00316448946619408,0.0033924465945672,0.00320919306082774,0.00343595077110707
E5_Female_1,0.00203559861263741,0.00175174185252987,0.00214890315255414,0.00493071867247508,0.00464085041916829,0.00156982727156619,0.00143621478744731,0.00160309824946459,0.00574586914550131,0.00263581550835559,0.00214845928341665,0.00249597647903747,0.00169716943909971,0.00233817088051756,0.00529147859935289,0.00167778728137002,0.00207411727177715,0.00219231953638508,0.00175980721847687,0.00243657619767841,0.00140828887205544,0.00211790924415029,0.00185602379338013,0.00234037506400351,0.00232403345292182,0,0.00159309601404362,0.00158793257921552,0.00185897026539125,0.00308055291332467,0.00169142608485671,0.0016998723320024,0.0022603912871743,0.00231455191162926,0.002239208551133,0.00184276595789818,0.00204746076803621,0.00159908321019135,0.00498906155652143,0.00379699946071227,0.00182420353697952,0.00238084073004086,0.0021317833369629,0.0060541448222962,0.00211038502858573,0.00160908832115681,0.00127187019393577,0.0020386224004219,0.00469153676402378,0.00282728318325449,0.00233523453547487,0.00215803938881149,0.00209359464290757,0.00248675712574271
